"";"event";"pairing_order";"team";"gymnast";"dvalue";"endvalue";"score";"home_starts";"url";"time";"location"
"still_rings.4131";"still_rings";4;"Grötzingen-Karlsruhe";"Zäuner, Felix";3,3;11,2;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"vault.1131";"vault";1;"Grötzingen-Karlsruhe";"Zäuner, Felix";4;13,05;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"vault.2131";"vault";2;"Grötzingen-Karlsruhe";"Bratan, Lazar";4;12,6;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"vault.3131";"vault";3;"Grötzingen-Karlsruhe";"Dilger, Luca";3,2;12,6;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"vault.4131";"vault";4;"Grötzingen-Karlsruhe";"Bertsch, Julian";2,8;11;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"parallel_bars.1131";"parallel_bars";1;"Grötzingen-Karlsruhe";"Weiss, Anton";2,9;10,65;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"parallel_bars.2131";"parallel_bars";2;"Grötzingen-Karlsruhe";"Dilger, Luca";2,8;11,2;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"parallel_bars.3131";"parallel_bars";3;"Grötzingen-Karlsruhe";"Hertweck, Maximilian";2,4;11,5;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"parallel_bars.4131";"parallel_bars";4;"Grötzingen-Karlsruhe";"Zäuner, Felix";3,2;11,75;1;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"horizontal_bar.1131";"horizontal_bar";1;"Grötzingen-Karlsruhe";"Zäuner, Felix";3,5;11,9;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"horizontal_bar.2131";"horizontal_bar";2;"Grötzingen-Karlsruhe";"Weiss, Anton";3,2;10,85;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"horizontal_bar.3131";"horizontal_bar";3;"Grötzingen-Karlsruhe";"Dilger, Luca";2,6;11,1;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"horizontal_bar.4131";"horizontal_bar";4;"Grötzingen-Karlsruhe";"Bratan, Lazar";2,6;11,55;4;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
