"";"event";"pairing_order";"team_home";"gymnast_home";"dvalue_home";"endvalue_home";"score_home";"team_guest";"gymnast_guest";"dvalue_guest";"endvalue_guest";"score_guest";"home_starts";"url";"time";"location"
"still_rings.31";"still_rings";3;"KTG Heidelberg";"Steckel, Lorenz";3,4;11,55;1;"TG Allgäu";"Krapp, Kilian";3,4;11,35;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"still_rings.41";"still_rings";4;"KTG Heidelberg";"Rauprich, Marvin";3,4;11,7;0;"TG Allgäu";"Kirmes, Oskar";4,6;12,7;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"vault.11";"vault";1;"KTG Heidelberg";"Steckel, Lorenz";4;13,15;2;"TG Allgäu";"Hartner, Martin";4;12,8;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"vault.21";"vault";2;"KTG Heidelberg";"Rauprich, Marvin";4;13,25;0;"TG Allgäu";"Kirmes, Robert";4,8;13,9;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"vault.31";"vault";3;"KTG Heidelberg";"Kashiwagi, Tomoya";5,2;14,8;4;"TG Allgäu";"Schwäke, Jan";4,8;13,65;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"vault.41";"vault";4;"KTG Heidelberg";"Aoki, Shimon";4;13;2;"TG Allgäu";"Krapp, Kilian";4;12,6;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"parallel_bars.11";"parallel_bars";1;"KTG Heidelberg";"Steckel, Lorenz";3;12;4;"TG Allgäu";"Urbin, Michael";3,4;10,35;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"parallel_bars.21";"parallel_bars";2;"KTG Heidelberg";"Kashiwagi, Tomoya";5,1;13,9;4;"TG Allgäu";"Schwäke, Jan";3,4;12,65;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"parallel_bars.31";"parallel_bars";3;"KTG Heidelberg";"Rauprich, Marvin";3,2;10,15;0;"TG Allgäu";"Eberle, Stephan";2,9;12,3;5;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"parallel_bars.41";"parallel_bars";4;"KTG Heidelberg";"Aoki, Shimon";4,1;12,35;0;"TG Allgäu";"Kirmes, Oskar";4,9;13,55;4;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
